var,feeding,size,age,dic_med,dic_lcl,dic_ucl,beta_med,beta_lcl,beta_ucl,beta_size,beta_size_lcl,beta_size_ucl,beta_age_med,beta_age_lcl,beta_age_ucl,beta_feed,beta_feed_lcl,beta_feed_ucl,DIC
day.below.zero.ground,yes,none,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day.snow.cover0,yes,none,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day.snow.cover3,yes,none,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day.snow.cover5,yes,none,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day.below.zero.ground,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover0,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover3,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover5,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.precip,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.snow.cover,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.ground.min,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.max,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.min,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
total.precip,yes,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.below.zero.ground,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover0,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover3,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover5,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.precip,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.snow.cover,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.ground.min,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.max,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.min,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
total.precip,no,none,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.below.zero.ground,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover0,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover3,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover5,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.precip,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.snow.cover,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.ground.min,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.max,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.min,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
total.precip,yes,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.below.zero.ground,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover0,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover3,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover5,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.precip,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.snow.cover,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.ground.min,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.max,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mean.temp.min,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
total.precip,no,size,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.below.zero.ground,yes,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover0,yes,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
day.snow.cover3,yes,mass,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
