occ,year,mean.snow.cover,mean.precip,total.precip,mean.temp,mean.temp.min,mean.temp.max,mean.temp.ground.min,day.snow.cover0,day.snow.cover3,day.snow.cover5,day.below.zero.ground
1,2009,0,4.442857143,62.2,19.36428571,14.09285714,24.55714286,10.06428571,0,0,0,0
2,2009,0,0.778571429,10.9,20.74285714,14.32142857,27.52142857,10.12857143,0,0,0,0
3,2009,0,0.828571429,11.6,16.27857143,9.985714286,22.49285714,5.785714286,0,0,0,0
4,2009,0,0.321428571,4.5,15.3,10.81428571,19.70714286,6.864285714,0,0,0,0
5,2009,0,0.6,8.4,14.13571429,8.642857143,19.22142857,4.207142857,0,0,0,3
6,2009,0,3.25,45.5,5.95,2.321428571,9.492857143,-0.935714286,0,0,0,10
7,2009,0,1.164285714,16.3,7.885714286,3.164285714,12.40714286,-0.607142857,0,0,0,8
8,2009,0,2,28,6.464285714,2.3,10.87857143,-0.807142857,0,0,0,8
9,2009,0,1.971428571,27.6,6.685714286,3.021428571,10.25714286,-0.907142857,0,0,0,10
10,2009,0,1.607142857,22.5,1.178571429,-1.635714286,3.557142857,-4.492857143,0,0,0,10
11,2009,0.5,1.914285714,26.8,0.607142857,-3.314285714,4.457142857,-6.885714286,5,0,0,12
12,2009,9.071428571,1.071428571,15,-3.271428571,-5.778571429,-1.342857143,-8.928571429,14,7,7,14
13,2009,4.428571429,1.157142857,16.2,-1.121428571,-4.014285714,1.457142857,-6.685714286,14,8,4,14
14,2009,4.357142857,0.964285714,13.5,-1.171428571,-3.564285714,0.842857143,-6.142857143,10,6,6,13
15,2009,5.785714286,0.857142857,12,1.971428571,-1.75,5.871428571,-6.085714286,9,6,6,13
16,2009,3.214285714,0.964285714,13.5,0.035714286,-4.321428571,4.085714286,-8.221428571,7,7,5,13
17,2009,0.5,0.771428571,10.8,8.385714286,3.071428571,14.02857143,-1.185714286,2,1,0,8
18,2009,0,0.828571429,11.6,8.642857143,3.607142857,13.67142857,-0.5,0,0,0,6
19,2009,0,0.292857143,4.1,8.607142857,2.8,13.88571429,-3.228571429,0,0,0,13
20,2009,0,2.785714286,39,12.05714286,6.721428571,16.74285714,2.65,0,0,0,3
21,2009,0,2.028571429,28.4,9.807142857,6.314285714,13.3,3.685714286,0,0,0,3
22,2009,0,2.278571429,31.9,15.40714286,10.84285714,19.87857143,7.514285714,0,0,0,0
