var,feeding,size,age,dic_med,dic_lcl,dic_ucl,beta_med,beta_lcl,beta_ucl,beta_size,beta_size_lcl,beta_size_ucl,beta_age_med,beta_age_lcl,beta_age_ucl,beta_feed,beta_feed_lcl,beta_feed_ucl,beta_winP,beta_winP_lcl,beta_winP_ucl,DIC
mean.temp.ground.min,no,none,no,1009.19,944.053275,1085.80575,-0.0308879,-0.418962125,0.37222565,0,0,0,0,0,0,0,0,0,0.956587,0.5895414,1.33858125,1009.19
day.below.zero.ground,no,none,no,1043.46,968.805825,1133.00125,0.06225725,-0.165035275,0.412064675,0,0,0,0,0,0,0,0,0,-0.2045495,-0.38514555,0.00436609825,1043.46
mean.temp.max,no,none,no,1002.965,936.6805,1077.77225,0.08686455,-0.450454475,0.613982725,0,0,0,0,0,0,0,0,0,1.30052,0.7617231,1.83496975,1002.965
mean.temp,no,none,no,1004.835,937.2703,1088.44425,0.1890235,-0.217418825,0.5795486,0,0,0,0,0,0,0,0,0,1.00089,0.569709875,1.4157715,1004.835
total.precip,no,none,no,1023.58,957.499925,1097.15625,0.223536,-0.0776570075,0.570656375,0,0,0,0,0,0,0,0,0,0.247077,-0.12234175,0.6981421,1023.58
mean.temp.min,no,none,no,1002.285,921.220075,1072.7775,0.2405485,-0.079607365,0.564461575,0,0,0,0,0,0,0,0,0,0.7280735,0.4014024,1.03446075,1002.285
mean.snow.cover,no,none,no,1020.675,955.346825,1096.0215,-0.3275395,-0.471785,-0.171914525,0,0,0,0,0,0,0,0,0,-0.2013,-0.3947477,0.00824370724999997,1020.675
mean.precip,no,none,no,1046.14,967.1968,1129.4415,0.3447255,0.0384162725,0.69138085,0,0,0,0,0,0,0,0,0,-0.1515665,-0.4393897,0.1949796,1046.14
day.snow.cover5,no,none,no,1022.29,948.52295,1098.868,-0.352436,-0.500385925,-0.162430675,0,0,0,0,0,0,0,0,0,-0.126582,-0.331987075,0.0975009874999999,1022.29
day.snow.cover3,no,none,no,1023.46,953.1638,1105.58625,-0.4136365,-0.60971365,-0.226725025,0,0,0,0,0,0,0,0,0,-0.1251745,-0.3539704,0.11348645,1023.46
day.snow.cover0,no,none,no,1015.295,945.439875,1092.46525,-0.4945795,-0.722764825,-0.22981095,0,0,0,0,0,0,0,0,0,-0.2552935,-0.4847095,-0.0138894550000001,1015.295
