var,feeding,size,age,dic_med,dic_lcl,dic_ucl,beta_med,beta_lcl,beta_ucl,beta_size,beta_size_lcl,beta_size_ucl,beta_age_med,beta_age_lcl,beta_age_ucl,beta_feed,beta_feed_lcl,beta_feed_ucl,DIC
mean.temp,no,none,no,1001.615,936.519175,1082.7155,-0.09025795,-0.360049725,-0.003337462,0,0,0,0,0,0,0,0,0,1001.615
mean.temp.max,no,none,no,1002.915,946.058425,1078.4415,-0.1536035,-0.58581385,-0.00535570675000001,0,0,0,0,0,0,0,0,0,1002.915
mean.temp.min,no,none,no,1004.295,942.8408,1080.21375,-0.05861435,-0.268778825,-0.00209439625,0,0,0,0,0,0,0,0,0,1004.295
mean.temp.ground.min,no,none,no,1005.63,937.923775,1071.562,-0.1520225,-0.444276925,-0.00887125975000001,0,0,0,0,0,0,0,0,0,1005.63
day.snow.cover0,no,none,no,1016.87,947.872875,1092.99425,-0.487234,-0.691281625,-0.263689825,0,0,0,0,0,0,0,0,0,1016.87
mean.snow.cover,no,none,no,1020.285,956.354875,1093.54375,-0.3343695,-0.496630075,-0.159235775,0,0,0,0,0,0,0,0,0,1020.285
day.snow.cover3,no,none,no,1021.685,957.136275,1093.23,-0.4201045,-0.615357125,-0.21077105,0,0,0,0,0,0,0,0,0,1021.685
total.precip,no,none,no,1023.01,962.096125,1100.4535,-0.0515896,-0.231018275,-0.00202822825,0,0,0,0,0,0,0,0,0,1023.01
day.snow.cover5,no,none,no,1024.745,957.80305,1099.40925,-0.3558045,-0.531051775,-0.169917825,0,0,0,0,0,0,0,0,0,1024.745
mean.precip,no,none,no,1038.31,972.332775,1120.91275,-0.0332077,-0.149100225,-0.001223273,0,0,0,0,0,0,0,0,0,1038.31
day.below.zero.ground,no,none,no,1044.28,965.3792,1125.474,-0.05977035,-0.19371095,-0.002740945,0,0,0,0,0,0,0,0,0,1044.28
