var,dic_med,dic_lcl,dic_ucl,beta_med,beta_lcl,beta_ucl
mean.snow.cover,735.485339131165,686.625972656473,792.994483300508,-0.265941411199564,-0.36734891268577,-0.164703597561014
day.snow.cover3,735.616879910299,685.374724559315,791.864699774316,-0.212448833788718,-0.297906577019442,-0.130249189197747
day.snow.cover5,736.533623970442,686.715260209736,793.293838885702,-0.266127357303299,-0.372631597225057,-0.167149616846876
mean.temp,738.082041328875,687.049675677086,795.560951612736,0.0682996966077807,0.0195542411354251,0.117655410630313
mean.temp.max,738.258124416777,686.467898817783,793.486978628924,0.0607955463896033,0.0207531036471707,0.102928271629149
mean.temp.min,738.67348898716,684.901443894664,795.480595287142,0.0808747328160944,0.0239996295679251,0.142561962721856
day.snow.cover0,739.065147248087,687.271082190416,796.548666854585,-0.117353588852413,-0.18090306339331,-0.0556935436181783
mean.temp.ground.min,740.40431734486,689.557363943104,797.01216662809,0.0700185111453638,0.0159902672197099,0.127192041996505
mean.precip,742.924548869414,691.300546393128,800.881931122752,0.142610517341283,-0.0540165391335569,0.353554199163307
total.precip,743.353335811049,691.192457237223,801.27261251822,0.010027079091582,-0.00394383991987649,0.0242361870157326
day.below.zero.ground,743.574498053981,691.48958575467,801.380559377675,-0.0538176855060285,-0.120646889909608,0.0151070418940748
